epoch | d_loss | g_loss | g_lr | d_lr 
---------------------------------------------------------------
[001/100] D: 0.6426 | G: 0.8379 | g_lr=0.000200 | d_lr=0.000025 
[002/100] D: 0.6045 | G: 0.9113 | g_lr=0.000200 | d_lr=0.000025 
[003/100] D: 0.6460 | G: 0.8391 | g_lr=0.000200 | d_lr=0.000025 
[004/100] D: 0.6502 | G: 0.8347 | g_lr=0.000200 | d_lr=0.000025 
[005/100] D: 0.6524 | G: 0.8329 | g_lr=0.000200 | d_lr=0.000025 
[006/100] D: 0.6547 | G: 0.8296 | g_lr=0.000200 | d_lr=0.000025 
[007/100] D: 0.6560 | G: 0.8279 | g_lr=0.000200 | d_lr=0.000025 
[008/100] D: 0.6565 | G: 0.8273 | g_lr=0.000200 | d_lr=0.000025 
[009/100] D: 0.6556 | G: 0.8293 | g_lr=0.000200 | d_lr=0.000025 
[010/100] D: 0.6546 | G: 0.8310 | g_lr=0.000200 | d_lr=0.000025 
[011/100] D: 0.6532 | G: 0.8319 | g_lr=0.000200 | d_lr=0.000025 
[012/100] D: 0.6517 | G: 0.8354 | g_lr=0.000200 | d_lr=0.000025 
[013/100] D: 0.6506 | G: 0.8412 | g_lr=0.000200 | d_lr=0.000025 
[014/100] D: 0.6484 | G: 0.8416 | g_lr=0.000200 | d_lr=0.000025 
[015/100] D: 0.6463 | G: 0.8466 | g_lr=0.000200 | d_lr=0.000025 
[016/100] D: 0.6445 | G: 0.8520 | g_lr=0.000200 | d_lr=0.000025 
[017/100] D: 0.6425 | G: 0.8539 | g_lr=0.000200 | d_lr=0.000025 
[018/100] D: 0.6393 | G: 0.8568 | g_lr=0.000200 | d_lr=0.000025 
[019/100] D: 0.6378 | G: 0.8664 | g_lr=0.000200 | d_lr=0.000025 
[020/100] D: 0.6354 | G: 0.8702 | g_lr=0.000200 | d_lr=0.000025 
[021/100] D: 0.6332 | G: 0.8748 | g_lr=0.000200 | d_lr=0.000025 
[022/100] D: 0.6304 | G: 0.8791 | g_lr=0.000200 | d_lr=0.000025 
[023/100] D: 0.6281 | G: 0.8845 | g_lr=0.000200 | d_lr=0.000025 
[024/100] D: 0.6248 | G: 0.8907 | g_lr=0.000200 | d_lr=0.000025 
